,Query,Word
128,Q12,journal
129,Q13,criteria
130,Q13,develop
131,Q13,object
132,Q13,evalu
133,Q13,inform
134,Q13,retriev
135,Q13,dissemin
136,Q13,system
137,Q14,futur
138,Q14,automat
139,Q14,medic
140,Q14,diagnosi
141,Q15,much
142,Q15,inform
143,Q15,retriev
144,Q15,dissemin
145,Q15,system
146,Q15,well
147,Q15,autom
148,Q15,librari
149,Q15,cost
150,Q15,worth
151,Q15,research
152,Q15,industri
153,Q16,system
154,Q16,incorpor
155,Q16,multiprogram
156,Q16,remot
157,Q16,station
158,Q16,inform
159,Q16,retriev
160,Q16,extent
161,Q16,use
162,Q16,futur
163,Q17,mean
164,Q17,obtain
165,Q17,larg
166,Q17,volum
167,Q17,high
168,Q17,speed
169,Q17,custom
170,Q17,usabl
171,Q17,inform
172,Q17,retriev
173,Q17,output
174,Q18,method
175,Q18,encod
176,Q18,automat
177,Q18,match
178,Q18,automat
179,Q18,draw
180,Q18,structur
181,Q18,extend
182,Q18,two
183,Q18,dimens
184,Q18,like
185,Q18,structur
186,Q18,formula
187,Q18,chemic
188,Q18,compound
189,Q19,techniqu
190,Q19,machin
191,Q19,match
192,Q19,machin
193,Q19,search
194,Q19,system
195,Q19,code
196,Q19,match
197,Q19,method
198,Q20,test
199,Q20,autom
200,Q20,inform
201,Q20,system
202,Q21,need
203,Q21,provid
204,Q21,personnel
205,Q21,inform
206,Q21,field
207,Q22,autom
208,Q22,inform
209,Q22,medic
210,Q22,field
211,Q23,amount
212,Q23,use
213,Q23,book
214,Q23,librari
215,Q23,relat
216,Q23,need
217,Q23,autom
218,Q23,inform
219,Q23,system
220,Q24,educ
221,Q24,train
222,Q24,requir
223,Q24,personnel
224,Q24,inform
225,Q24,field
226,Q24,possibl
227,Q24,train
228,Q24,need
229,Q24,program
230,Q24,provid
231,Q24,train
232,Q25,intern
233,Q25,system
234,Q25,exchang
235,Q25,dissemin
236,Q25,inform
237,Q26,cost
238,Q26,determin
239,Q26,cost
240,Q26,associ
241,Q26,system
242,Q26,autom
243,Q26,inform
244,Q27,computer
245,Q27,inform
246,Q27,retriev
247,Q27,system
248,Q27,computer
249,Q27,index
250,Q27,system
251,Q28,computer
252,Q28,inform
253,Q28,system
254,Q28,field
255,Q28,relat
256,Q28,chemistri
257,Q29,specif
258,Q29,advantag
259,Q29,computer
260,Q29,index
261,Q29,system
262,Q30,inform
263,Q30,dissemin
264,Q30,journal
265,Q30,period
266,Q31,inform
267,Q31,system
268,Q31,physic
269,Q31,scienc
270,Q32,attempt
271,Q32,computer
272,Q32,mechan
273,Q32,system
274,Q32,gener
275,Q32,librari
276,Q32,problem
277,Q32,method
278,Q32,autom
279,Q32,gener
280,Q32,author
281,Q32,titl
282,Q32,index
283,Q32,system
284,Q33,retriev
285,Q33,system
286,Q33,provid
287,Q33,autom
288,Q33,transmiss
289,Q33,inform
290,Q33,user
291,Q33,distanc
292,Q34,method
293,Q34,code
294,Q34,use
295,Q34,computer
296,Q34,index
297,Q34,system
298,Q35,govern
299,Q35,support
300,Q35,agenc
301,Q35,project
302,Q35,deal
303,Q35,inform
304,Q35,dissemin
305,Q36,theori
306,Q36,practic
307,Q36,comput
308,Q36,translat
309,Q36,text
310,Q36,one
311,Q36,nation
312,Q36,languag
313,Q36,anoth
314,Q36,machin
315,Q36,translat
316,Q36,compet
317,Q36,tradit
318,Q36,method
319,Q36,translat
320,Q36,comprehend
321,Q36,nuanc
322,Q36,mean
323,Q36,languag
324,Q36,differ
325,Q36,structur
326,Q37,list
327,Q37,word
328,Q37,use
329,Q37,index
330,Q37,classifi
331,Q37,materi
332,Q37,avail
333,Q37,want
334,Q37,list
335,Q37,term
336,Q37,descript
337,Q37,vocabulari
338,Q37,particular
339,Q37,field
340,Q37,schedul
341,Q37,word
342,Q37,relat
343,Q37,meaning
344,Q37,scheme
345,Q37,want
346,Q37,list
347,Q37,test
348,Q37,least
349,Q37,extent
350,Q37,found
351,Q37,use
352,Q37,organ
353,Q37,materi
354,Q37,retriev
355,Q38,access
356,Q38,word
357,Q38,inform
358,Q38,retriev
359,Q38,system
360,Q38,kept
361,Q38,date
362,Q38,word
363,Q38,mean
364,Q38,usag
365,Q38,often
366,Q38,chang
367,Q38,list
368,Q38,must
369,Q38,dynam
370,Q38,current
371,Q38,definit
372,Q38,problem
373,Q38,progress
374,Q38,toward
375,Q38,solut
376,Q38,made
377,Q38,provid
378,Q38,necessari
379,Q38,flexibl
380,Q38,system
381,Q38,subject
382,Q38,head
383,Q38,index
384,Q38,word
385,Q38,symbol
386,Q38,use
387,Q38,get
388,Q38,store
389,Q38,data
390,Q39,progress
391,Q39,inform
392,Q39,retriev
393,Q39,present
394,Q39,problem
395,Q39,maladjust
396,Q39,disloc
397,Q39,personnel
398,Q39,train
399,Q39,retrain
400,Q39,peopl
401,Q39,use
402,Q39,new
403,Q39,equip
404,Q39,import
405,Q39,level
406,Q39,librarian
407,Q39,assist
408,Q39,technician
409,Q39,student
410,Q39,research
411,Q39,even
412,Q39,execut
413,Q39,need
414,Q39,educ
415,Q39,learn
416,Q39,purpos
417,Q39,valu
418,Q39,use
419,Q39,inform
420,Q39,system
421,Q39,hardwar
422,Q39,program
423,Q39,develop
424,Q39,chang
425,Q39,attitud
426,Q39,skill
427,Q39,tradit
428,Q39,worker
429,Q39,help
430,Q39,learn
431,Q39,newer
432,Q39,techniqu
433,Q40,statu
434,Q40,machin
435,Q40,translat
436,Q40,progress
437,Q40,made
438,Q40,use
439,Q40,comput
440,Q40,transfer
441,Q40,one
442,Q40,languag
443,Q40,anoth
444,Q40,degre
445,Q40,autom
446,Q40,problem
447,Q40,stumbl
448,Q40,block
449,Q40,found
450,Q40,consid
451,Q40,insurmount
452,Q40,limit
453,Q40,challeng
454,Q40,field
455,Q40,document
456,Q40,intern
457,Q40,scale
458,Q41,alphabet
459,Q41,order
460,Q41,materi
461,Q41,consid
462,Q41,use
463,Q41,tool
464,Q41,inform
465,Q41,retriev
466,Q41,studi
467,Q41,done
468,Q41,compar
469,Q41,effect
470,Q41,alphabet
471,Q41,order
472,Q41,organ
473,Q41,scheme
474,Q41,gener
475,Q41,accept
476,Q41,form
477,Q41,arrang
478,Q41,materi
479,Q41,alphabet
480,Q41,order
481,Q41,easi
482,Q41,way
483,Q41,achiev
484,Q41,form
485,Q41,without
486,Q41,go
487,Q41,great
488,Q41,amount
489,Q41,effort
490,Q42,averag
491,Q42,student
492,Q42,research
493,Q42,difficulti
494,Q42,comprehend
495,Q42,vocabulari
496,Q42,inform
497,Q42,retriev
498,Q42,appear
499,Q42,import
500,Q42,new
501,Q42,field
502,Q42,understood
503,Q42,fulli
504,Q42,accept
505,Q42,basic
506,Q42,articl
507,Q42,would
508,Q42,provid
509,Q42,understand
510,Q42,variou
511,Q42,import
512,Q42,aspect
513,Q42,inform
514,Q42,storag
515,Q42,retriev
516,Q43,difficulti
517,Q43,encount
518,Q43,inform
519,Q43,retriev
520,Q43,system
521,Q43,often
522,Q43,less
523,Q43,relat
524,Q43,equip
525,Q43,use
526,Q43,failur
527,Q43,plan
528,Q43,adequ
529,Q43,document
530,Q43,analysi
531,Q43,index
532,Q43,machin
533,Q43,code
534,Q43,posit
535,Q43,programm
536,Q43,take
537,Q43,problem
538,Q43,write
539,Q43,way
540,Q43,equip
541,Q43,understand
542,Q43,articl
543,Q43,written
544,Q43,describ
545,Q43,research
546,Q43,maxim
547,Q43,effect
548,Q43,program
549,Q44,present
550,Q44,fifti
551,Q44,one
552,Q44,hundr
553,Q44,technic
554,Q44,journal
555,Q44,publish
556,Q44,averag
557,Q44,two
558,Q44,new
559,Q44,journal
560,Q44,appear
561,Q44,everi
562,Q44,day
563,Q44,mani
564,Q44,journal
565,Q44,publish
566,Q44,one
567,Q44,two
568,Q44,million
569,Q44,articl
570,Q44,appear
571,Q44,everi
572,Q44,year
573,Q44,attempt
574,Q44,made
575,Q44,cope
576,Q44,amount
577,Q44,scientif
578,Q44,technic
579,Q44,public
580,Q44,term
581,Q44,analysi
582,Q44,control
583,Q44,storag
584,Q44,retriev
585,Q45,look
586,Q45,inform
587,Q45,impact
588,Q45,autom
589,Q45,librari
590,Q45,signific
591,Q45,librari
592,Q45,gener
593,Q45,includ
594,Q45,increas
595,Q45,import
596,Q45,autom
597,Q45,view
598,Q45,prolifer
599,Q45,inform
600,Q45,today
601,Q45,autom
602,Q45,help
603,Q45,librari
604,Q45,cope
605,Q45,problem
606,Q45,autom
607,Q45,affect
608,Q45,librari
609,Q45,react
610,Q45,idea
611,Q45,autom
612,Q46,seek
613,Q46,inform
614,Q46,use
615,Q46,data
616,Q46,process
617,Q46,librari
618,Q46,mechan
619,Q46,routin
620,Q46,librari
621,Q46,process
622,Q46,procedur
623,Q46,would
624,Q46,like
625,Q46,descript
626,Q46,gener
627,Q46,specif
628,Q46,applic
629,Q46,autom
630,Q46,area
631,Q46,circul
632,Q46,catalog
633,Q46,acquisit
634,Q46,serial
635,Q46,record
636,Q46,record-keep
637,Q46,exampl
638,Q46,base
639,Q46,oper
640,Q46,convent
641,Q46,public
642,Q46,univers
643,Q46,librari
644,Q46,practic
645,Q46,special
646,Q46,librari
647,Q46,could
648,Q46,also
649,Q46,appli
650,Q46,public
651,Q46,univers
652,Q46,librari
653,Q46,give
654,Q46,descript
655,Q46,equip
656,Q46,oper
657,Q46,present
658,Q46,project
659,Q47,establish
660,Q47,mean
661,Q47,present
662,Q47,intern
663,Q47,exchang
664,Q47,materi
665,Q47,inform
666,Q47,retriev
667,Q47,take
668,Q47,form
669,Q47,intern
670,Q47,agenc
671,Q47,center
672,Q47,regularli
673,Q47,distribut
674,Q47,inform
675,Q47,retriev
676,Q47,method
677,Q47,research
678,Q47,result
679,Q47,way
680,Q47,materi
681,Q47,cross
682,Q47,nation
683,Q47,boundari
684,Q47,seem
685,Q47,problem
686,Q47,block
687,Q47,better
688,Q47,intern
689,Q47,exchang
690,Q47,effort
691,Q47,made
692,Q47,solv
693,Q47,problem
694,Q48,inform
695,Q48,retriev
696,Q48,still
697,Q48,new
698,Q48,experiment
699,Q48,field
700,Q48,line
701,Q48,distinguish
702,Q48,research
703,Q48,practic
704,Q48,often
705,Q48,difficult
706,Q48,even
707,Q48,imposs
708,Q48,draw
709,Q48,howev
710,Q48,actual
711,Q48,center
712,Q48,research
713,Q48,inform
714,Q48,retriev
715,Q48,countri
716,Q48,locat
717,Q48,support
718,Q48,govern
719,Q48,busi
720,Q48,univers
721,Q48,librari
722,Q48,inform
723,Q48,retriev
724,Q48,special
725,Q48,research
726,Q48,disciplin
727,Q48,said
728,Q48,emerg
729,Q48,still
730,Q48,amalgam
731,Q48,skill
732,Q48,field
733,Q48,mathemat
734,Q48,engin
735,Q48,librari
736,Q48,scienc
737,Q48,word
738,Q48,tell
739,Q48,inform
740,Q48,retriev
741,Q48,research
742,Q49,resourc
743,Q49,spent
744,Q49,appli
745,Q49,inform
746,Q49,retriev
747,Q49,techniqu
748,Q49,physic
749,Q49,medic
750,Q49,scienc
751,Q49,inform
752,Q49,retriev
753,Q49,use
754,Q49,natur
755,Q49,scienc
756,Q49,social
757,Q49,scienc
758,Q49,human
759,Q49,problem
760,Q49,encount
761,Q49,subject
762,Q49,area
763,Q49,solv
764,Q49,characterist
765,Q49,subject
766,Q49,area
767,Q49,necessit
768,Q49,develop
769,Q49,new
770,Q49,inform
771,Q49,retriev
772,Q49,techniqu
773,Q49,prospct
774,Q49,futur
775,Q49,machin
776,Q49,control
777,Q49,area
778,Q50,use
779,Q50,tradit
780,Q50,classif
781,Q50,scheme
782,Q50,ddc
783,Q50,udc
784,Q50,lc
785,Q50,etc
786,Q50,inform
787,Q50,retriev
788,Q50,system
789,Q50,scheme
790,Q50,appear
791,Q50,suit
792,Q50,machin
793,Q50,use
794,Q50,appli
795,Q50,classif
796,Q50,scheme
797,Q50,irrelev
798,Q50,research
799,Q50,shown
800,Q50,subject
801,Q50,classif
802,Q50,knowledg
803,Q50,complet
804,Q50,unnecessari
805,Q50,machin
806,Q50,system
807,Q50,new
808,Q50,scheme
809,Q50,devis
810,Q50,appear
811,Q50,suit
812,Q50,machin
813,Q50,use
814,Q51,coordin
815,Q51,index
816,Q51,util
817,Q51,descriptor
818,Q51,control
819,Q51,languag
820,Q51,use
821,Q51,descriptor
822,Q51,construct
823,Q51,index
824,Q51,descriptor
825,Q51,use
826,Q51,search
827,Q51,inform
828,Q51,retriev
829,Q51,system
830,Q52,characterist
831,Q52,medlar
832,Q52,medic
833,Q52,literatur
834,Q52,analysi
835,Q52,retriev
836,Q52,system
837,Q52,project
838,Q52,undertaken
839,Q52,nation
840,Q52,librari
841,Q52,medicin
842,Q52,index
843,Q52,current
844,Q52,medic
845,Q52,journal
846,Q52,relat
847,Q52,index
848,Q52,system
849,Q52,index
850,Q52,medicu
851,Q52,major
852,Q52,compon
853,Q52,medlar
854,Q52,project
855,Q52,major
856,Q52,oper
857,Q52,detail
858,Q53,comput
859,Q53,use
860,Q53,medic
861,Q53,scienc
862,Q53,diagnost
863,Q53,clinic
864,Q53,record
865,Q53,keep
866,Q53,purpos
867,Q53,program
868,Q53,autom
869,Q53,tri
870,Q53,hospit
871,Q53,result
872,Q53,problem
873,Q53,encount
874,Q53,use
875,Q53,autom
876,Q53,medicin
877,Q53,purpos
878,Q53,autom
879,Q53,system
880,Q53,clinic
881,Q53,record
882,Q53,use
883,Q53,possibl
884,Q53,use
885,Q53,comput
886,Q53,medicin
887,Q54,effect
888,Q54,librarian
889,Q54,autom
890,Q54,note
891,Q54,new
892,Q54,type
893,Q54,technolog
894,Q54,use
895,Q54,librari
896,Q54,effect
897,Q54,statu
898,Q54,posit
899,Q54,function
900,Q54,librarian
901,Q54,chang
902,Q54,contempl
903,Q54,initi
904,Q54,introduc
905,Q54,autom
906,Q54,educ
907,Q54,librarian
908,Q55,aim
909,Q55,object
910,Q55,medic
911,Q55,literatur
912,Q55,analysi
913,Q55,retriev
914,Q55,system
915,Q55,medlar
916,Q55,medlar
917,Q55,oper
918,Q55,possibl
919,Q55,applic
920,Q55,medlar
921,Q55,futur
922,Q55,inform
923,Q55,retriev
924,Q55,system
925,Q56,standard
926,Q56,method
927,Q56,find
928,Q56,inform
929,Q56,today
930,Q56,librari
931,Q56,use
932,Q56,alphabet
933,Q56,arrang
934,Q56,card
935,Q56,catalog
936,Q56,classifi
937,Q56,catalog
938,Q56,base
939,Q56,classif
940,Q56,system
941,Q56,dc
942,Q56,lc
943,Q56,system
944,Q56,modifi
945,Q56,use
946,Q56,autom
947,Q56,inform
948,Q56,retriev
949,Q57,catalog
950,Q57,either
951,Q57,arrang
952,Q57,alphabet
953,Q57,arrang
954,Q57,classif
955,Q57,number
956,Q57,lc
957,Q57,entri
958,Q57,print
959,Q57,readabl
960,Q57,languag
961,Q57,ultim
962,Q57,import
963,Q57,individu
964,Q57,look
965,Q57,inform
966,Q57,definit
967,Q57,author
968,Q57,titl
969,Q57,subject
970,Q57,phrase
971,Q57,languag
972,Q57,probabl
973,Q57,english
974,Q57,case
975,Q57,mind
976,Q57,lc
977,Q57,entri
978,Q57,subject
979,Q57,head
980,Q57,use
981,Q57,manner
982,Q57,autom
983,Q57,system
984,Q58,direct
985,Q58,librari
986,Q58,network
987,Q58,bibliograph
988,Q58,control
989,Q58,marc
990,Q58,review
991,Q58,capabl
992,Q58,key
993,Q58,onlin
994,Q58,system
995,Q58,brought
996,Q58,interdepend
997,Q58,among
998,Q58,librari
999,Q58,servic
1000,Q58,center
1001,Q58,mediat
1002,Q58,larg
1003,Q58,util
1004,Q58,process
1005,Q58,distribut
1006,Q58,data
1007,Q58,develop
1008,Q58,basic
1009,Q58,network
1010,Q58,structur
1011,Q58,among
1012,Q58,librari
1013,Q58,unit
1014,Q58,state
1015,Q58,independ
1016,Q58,develop
1017,Q58,major
1018,Q58,network
1019,Q58,brought
1020,Q58,problem
1021,Q58,standard
1022,Q58,coordin
1023,Q58,author
1024,Q58,point
1025,Q58,technolog
1026,Q58,led
1027,Q58,toward
1028,Q58,central
1029,Q58,autom
1030,Q58,librari
1031,Q58,servic
1032,Q58,new
1033,Q58,develop
1034,Q58,push
1035,Q58,toward
1036,Q58,decentr
1037,Q58,coordin
1038,Q58,requir
1039,Q58,avoid
1040,Q58,fragment
1041,Q58,new
1042,Q58,environ
1043,Q59,perform
1044,Q59,test
1045,Q59,book
1046,Q59,index
1047,Q59,inform
1048,Q59,retriev
1049,Q59,system
1050,Q59,retriev
1051,Q59,perform
1052,Q59,book
1053,Q59,index
1054,Q59,measur
1055,Q59,term
1056,Q59,abil
1057,Q59,direct
1058,Q59,user
1059,Q59,select
1060,Q59,text
1061,Q59,materi
1062,Q59,whose
1063,Q59,ident
1064,Q59,locat
1065,Q59,known
1066,Q59,method
1067,Q59,requir
1068,Q59,human
1069,Q59,searcher
1070,Q59,base
1071,Q59,search
1072,Q59,strategi
1073,Q59,actual
1074,Q59,passag
1075,Q59,book
1076,Q59,rather
1077,Q59,test
1078,Q59,queri
1079,Q59,natur
1080,Q59,contriv
1081,Q59,circumv
1082,Q59,need
1083,Q59,relev
1084,Q59,judgement
1085,Q59,still
1086,Q59,yield
1087,Q59,perform
1088,Q59,indic
1089,Q59,correspond
1090,Q59,approxim
1091,Q59,recal
1092,Q59,precis
1093,Q59,ratio
1094,Q59,larg
1095,Q59,document
1096,Q59,retriev
1097,Q59,system
1098,Q59,evalu
1099,Q59,preliminari
1100,Q59,applic
1101,Q59,method
1102,Q59,subject
1103,Q59,index
1104,Q59,two
1105,Q59,major
1106,Q59,encyclopedia
1107,Q59,show
1108,Q59,one
1109,Q59,encyclopedia
1110,Q59,appar
1111,Q59,superior
1112,Q59,find
1113,Q59,discrimin
1114,Q59,abil
1115,Q59,retriev
1116,Q59,perform
1117,Q59,method
1118,Q59,present
1119,Q59,best
1120,Q59,suit
1121,Q59,compar
1122,Q59,test
1123,Q59,sinc
1124,Q59,abil
1125,Q59,yield
1126,Q59,absolut
1127,Q59,reproduc
1128,Q59,measur
1129,Q59,yet
1130,Q59,establish
1131,Q60,combin
1132,Q60,use
1133,Q60,bibliograph
1134,Q60,coupl
1135,Q60,cocit
1136,Q60,document
1137,Q60,retriev
1138,Q60,linkag
1139,Q60,similar
1140,Q60,measur
1141,Q60,take
1142,Q60,account
1143,Q60,bibliograph
1144,Q60,coupl
1145,Q60,document
1146,Q60,cocit
1147,Q60,cite
1148,Q60,cite
1149,Q60,paper
1150,Q60,produc
1151,Q60,improv
1152,Q60,document
1153,Q60,retriev
1154,Q60,measur
1155,Q60,base
1156,Q60,bibliograph
1157,Q60,coupl
1158,Q60,test
1159,Q60,collect
1160,Q60,consist
1161,Q60,1712 
1162,Q60,paper
1163,Q60,whose
1164,Q60,relev
1165,Q60,specif
1166,Q60,queri
1167,Q60,judg
1168,Q60,user
1169,Q60,evalu
1170,Q60,effect
1171,Q60,use
1172,Q60,cocit
1173,Q60,data
1174,Q60,calcul
1175,Q60,queri
1176,Q60,two
1177,Q60,measur
1178,Q60,similar
1179,Q60,relev
1180,Q60,paper
1181,Q60,everi
1182,Q60,paper
1183,Q60,retriev
1184,Q60,paper
1185,Q60,sort
1186,Q60,similar
1187,Q60,measur
1188,Q60,produc
1189,Q60,two
1190,Q60,order
1191,Q60,list
1192,Q60,compar
1193,Q60,result
1194,Q60,predict
1195,Q60,relev
1196,Q60,partial
1197,Q60,relev
1198,Q60,non-relev
1199,Q60,user
1200,Q60,evalu
1201,Q60,paper
1202,Q60,overal
1203,Q60,chang
1204,Q60,bibliograph
1205,Q60,coupl
1206,Q60,measur
1207,Q60,linkag
1208,Q60,similar
1209,Q60,measur
1210,Q60,repres
1211,Q60,introduct
1212,Q60,cocit
1213,Q60,data
1214,Q60,result
1215,Q60,better
1216,Q60,retriev
1217,Q60,perform
1218,Q61,search
1219,Q61,bias
1220,Q61,larg
1221,Q61,interact
1222,Q61,document
1223,Q61,retriev
1224,Q61,system
1225,Q61,way
1226,Q61,individu
1227,Q61,construct
1228,Q61,modifi
1229,Q61,search
1230,Q61,queri
1231,Q61,larg
1232,Q61,interact
1233,Q61,document
1234,Q61,retriev
1235,Q61,system
1236,Q61,subject
1237,Q61,systemat
1238,Q61,bias
1239,Q61,similar
1240,Q61,demonstr
1241,Q61,experi
1242,Q61,judgement
1243,Q61,uncertainti
1244,Q61,bias
1245,Q61,share
1246,Q61,naiv
1247,Q61,sophist
1248,Q61,subject
1249,Q61,caus
1250,Q61,inquir
1251,Q61,search
1252,Q61,document
1253,Q61,larg
1254,Q61,interact
1255,Q61,system
1256,Q61,construct
1257,Q61,modifi
1258,Q61,queri
1259,Q61,ineffici
1260,Q61,search
1261,Q61,algorithm
1262,Q61,suggest
1263,Q61,help
1264,Q61,inquir
1265,Q61,avoid
1266,Q61,effect
1267,Q61,bias
1268,Q62,fuzzi
1269,Q62,request
1270,Q62,approach
1271,Q62,weight
1272,Q62,boolean
1273,Q62,search
1274,Q62,articl
1275,Q62,concern
1276,Q62,problem
1277,Q62,permit
1278,Q62,patron
1279,Q62,repres
1280,Q62,rel
1281,Q62,import
1282,Q62,variou
1283,Q62,index
1284,Q62,term
1285,Q62,boolean
1286,Q62,request
1287,Q62,retain
1288,Q62,desir
1289,Q62,properti
1290,Q62,boolean
1291,Q62,system
1292,Q62,charact
1293,Q62,classic
1294,Q62,boolean
1295,Q62,system
1296,Q62,review
1297,Q62,relat
1298,Q62,notion
1299,Q62,fuzzi
1300,Q62,set
1301,Q62,fuzzi
1302,Q62,set
1303,Q62,concept
1304,Q62,form
1305,Q62,basi
1306,Q62,concept
1307,Q62,fuzzi
1308,Q62,request
1309,Q62,weight
1310,Q62,assign
1311,Q62,index
1312,Q62,term
1313,Q62,ther
1314,Q62,properti
1315,Q62,system
1316,Q62,discuss
1317,Q62,shown
1318,Q62,system
1319,Q62,retain
1320,Q62,manipul
1321,Q62,tradit
1322,Q62,boolean
1323,Q62,request
1324,Q63,featur
1325,Q63,comparison
1326,Q63,in-hous
1327,Q63,inform
1328,Q63,retriev
1329,Q63,system
1330,Q63,commerci
1331,Q63,search
1332,Q63,servic
1333,Q63,commerci
1334,Q63,avail
1335,Q63,onlin
1336,Q63,search
1337,Q63,use
1338,Q63,standard
1339,Q63,compar
1340,Q63,search
1341,Q63,evalu
1342,Q63,in-hous
1343,Q63,inform
1344,Q63,system
1345,Q63,base
1346,Q63,automat
1347,Q63,index
1348,Q63,system
1349,Q63,featur
1350,Q63,identifi
1351,Q63,evalu
1352,Q63,basi
1353,Q63,use
1354,Q63,variou
1355,Q63,kind
1356,Q63,search
1357,Q63,eas
1358,Q63,implement
1359,Q63,influenc
1360,Q63,differ
1361,Q63,user
1362,Q63,type
1363,Q63,specif
1364,Q63,applic
1365,Q63,common
1366,Q63,featur
1367,Q63,commerci
1368,Q63,system
1369,Q63,onlin
1370,Q63,instruct
1371,Q63,user-specifi
1372,Q63,print
1373,Q63,format
1374,Q63,dictionari
1375,Q63,display
1376,Q63,truncat
1377,Q63,seen
1378,Q63,unnecessari
1379,Q63,impract
1380,Q63,in-hous
1381,Q63,system
1382,Q63,design
1383,Q63,in-hous
1384,Q63,system
1385,Q63,therefor
1386,Q63,detald
1387,Q63,consider
1388,Q63,must
1389,Q63,given
1390,Q63,applic
1391,Q63,oper
1392,Q63,environ
1393,Q63,real
1394,Q63,user
1395,Q63,need
1396,Q63,commerci
1397,Q63,system
1398,Q63,serv
1399,Q63,use
1400,Q63,standard
1401,Q63,compar
1402,Q63,evalu
1403,Q63,one
1404,Q63,must
1405,Q63,care
1406,Q63,attempt
1407,Q63,duplic
1408,Q63,blindli
1409,Q63,in-hous
1410,Q64,measur
1411,Q64,inform
1412,Q64,scienc
1413,Q64,object
1414,Q64,subject
1415,Q64,metric
1416,Q64,space
1417,Q64,argu
1418,Q64,inform
1419,Q64,scienc
1420,Q64,distinguish
1421,Q64,physic
1422,Q64,object
1423,Q64,document
1424,Q64,space
1425,Q64,perspect
1426,Q64,subject
1427,Q64,inform
1428,Q64,space
1429,Q64,two
1430,Q64,space
1431,Q64,like
1432,Q64,map
1433,Q64,landscap
1434,Q64,systemat
1435,Q64,distort
1436,Q64,howev
1437,Q64,transform
1438,Q64,easili
1439,Q64,made
1440,Q64,two
1441,Q64,space
1442,Q64,distinguish
1443,Q64,transform
1444,Q64,omit
1445,Q64,get
1446,Q64,unhelp
1447,Q64,physic
1448,Q64,solut
1449,Q64,inform
1450,Q64,problem
1451,Q65,model
1452,Q65,cluster
1453,Q65,search
1454,Q65,base
1455,Q65,classif
1456,Q65,use
1457,Q65,document
1458,Q65,cluster
1459,Q65,suggest
1460,Q65,effici
1461,Q65,file
1462,Q65,organ
1463,Q65,document
1464,Q65,retriev
1465,Q65,system
1466,Q65,possibl
1467,Q65,use
1468,Q65,inform
1469,Q65,relationship
1470,Q65,document
1471,Q65,effect
1472,Q65,system
1473,Q65,i.e.
1474,Q65,abil
1475,Q65,distinguish
1476,Q65,relev
1477,Q65,non-relev
1478,Q65,document
1479,Q65,may
1480,Q65,also
1481,Q65,improv
1482,Q65,paper
1483,Q65,probabilist
1484,Q65,model
1485,Q65,cluster
1486,Q65,search
1487,Q65,base
1488,Q65,queri
1489,Q65,classif
1490,Q65,describ
1491,Q65,model
1492,Q65,test
1493,Q65,retriev
1494,Q65,experi
1495,Q65,indic
1496,Q65,effect
1497,Q65,heurist
1498,Q65,cluster
1499,Q65,search
