,Query,Document
343,Q11,D1228
344,Q11,D1235
345,Q11,D1241
346,Q11,D1254
347,Q11,D1256
348,Q11,D1257
349,Q11,D1264
350,Q11,D1268
351,Q11,D1275
352,Q11,D1284
353,Q11,D1295
354,Q11,D1298
355,Q11,D1303
356,Q11,D1309
357,Q11,D1319
358,Q11,D1373
359,Q11,D1404
360,Q11,D1418
361,Q11,D1446
362,Q12,D53
363,Q12,D133
364,Q12,D136
365,Q12,D341
366,Q12,D347
367,Q12,D376
368,Q12,D899
369,Q12,D1190
370,Q12,D1191
371,Q12,D1209
372,Q12,D1290
373,Q12,D1293
374,Q12,D1363
375,Q13,D27
376,Q13,D28
377,Q13,D42
378,Q13,D49
379,Q13,D50
380,Q13,D52
381,Q13,D57
382,Q13,D59
383,Q13,D61
384,Q13,D67
385,Q13,D72
386,Q13,D73
387,Q13,D75
388,Q13,D77
389,Q13,D84
390,Q13,D114
391,Q13,D120
392,Q13,D128
393,Q13,D134
394,Q13,D137
395,Q13,D139
396,Q13,D146
397,Q13,D153
398,Q13,D164
399,Q13,D167
400,Q13,D175
401,Q13,D176
402,Q13,D194
403,Q13,D198
404,Q13,D223
405,Q13,D244
406,Q13,D266
407,Q13,D307
408,Q13,D309
409,Q13,D311
410,Q13,D327
411,Q13,D328
412,Q13,D347
413,Q13,D389
414,Q13,D458
415,Q13,D474
416,Q13,D484
417,Q13,D486
418,Q13,D493
419,Q13,D494
420,Q13,D508
421,Q13,D509
422,Q13,D514
423,Q13,D519
424,Q13,D523
425,Q13,D525
426,Q13,D532
427,Q13,D538
428,Q13,D565
429,Q13,D595
430,Q13,D596
431,Q13,D608
432,Q13,D634
433,Q13,D646
434,Q13,D656
435,Q13,D658
436,Q13,D659
437,Q13,D696
438,Q13,D702
439,Q13,D705
440,Q13,D720
441,Q13,D728
442,Q13,D731
443,Q13,D752
444,Q13,D762
445,Q13,D780
446,Q13,D785
447,Q13,D795
448,Q13,D806
449,Q13,D815
450,Q13,D826
451,Q13,D827
452,Q13,D829
453,Q13,D835
454,Q13,D956
455,Q13,D966
456,Q13,D1054
457,Q13,D1124
458,Q13,D1126
459,Q13,D1127
460,Q13,D1138
461,Q13,D1139
462,Q13,D1143
463,Q13,D1144
464,Q13,D1282
465,Q13,D1307
466,Q14,D45
467,Q14,D420
468,Q14,D890
469,Q15,D18
470,Q15,D27
471,Q15,D36
472,Q15,D49
473,Q15,D56
474,Q15,D59
475,Q15,D67
476,Q15,D74
477,Q15,D83
478,Q15,D126
479,Q15,D158
480,Q15,D164
481,Q15,D167
482,Q15,D192
483,Q15,D214
484,Q15,D222
485,Q15,D223
486,Q15,D250
487,Q15,D281
488,Q15,D292
489,Q15,D295
490,Q15,D299
491,Q15,D307
492,Q15,D331
493,Q15,D336
494,Q15,D338
495,Q15,D348
496,Q15,D365
497,Q15,D366
498,Q15,D367
499,Q15,D368
500,Q15,D372
501,Q15,D381
502,Q15,D446
503,Q15,D458
504,Q15,D465
505,Q15,D466
506,Q15,D482
507,Q15,D490
508,Q15,D491
509,Q15,D495
510,Q15,D497
511,Q15,D507
512,Q15,D520
513,Q15,D528
514,Q15,D591
515,Q15,D594
516,Q15,D623
517,Q15,D629
518,Q15,D639
519,Q15,D690
520,Q15,D720
521,Q15,D723
522,Q15,D724
523,Q15,D727
524,Q15,D728
525,Q15,D731
526,Q15,D779
527,Q15,D822
528,Q15,D834
529,Q15,D839
530,Q15,D848
531,Q15,D849
532,Q15,D865
533,Q15,D872
534,Q15,D897
535,Q15,D1100
536,Q15,D1161
537,Q15,D1248
538,Q15,D1305
539,Q15,D1353
540,Q15,D1358
541,Q15,D1363
542,Q15,D1366
543,Q15,D1368
544,Q15,D1371
545,Q15,D1372
546,Q15,D1374
547,Q15,D1375
548,Q15,D1376
549,Q15,D1377
550,Q15,D1410
551,Q16,D123
552,Q16,D126
553,Q16,D169
554,Q16,D197
555,Q16,D375
556,Q16,D481
557,Q16,D497
558,Q16,D508
559,Q16,D528
560,Q16,D529
561,Q16,D534
562,Q16,D734
563,Q16,D854
564,Q16,D885
565,Q16,D947
566,Q16,D997
567,Q16,D1011
568,Q16,D1013
569,Q16,D1073
570,Q16,D1121
571,Q16,D1146
572,Q16,D1171
573,Q16,D1193
574,Q16,D1198
575,Q16,D1207
576,Q16,D1366
577,Q17,D34
578,Q17,D53
579,Q17,D252
580,Q17,D286
581,Q17,D375
582,Q17,D376
583,Q17,D465
584,Q17,D467
585,Q17,D482
586,Q17,D491
587,Q17,D507
588,Q17,D529
589,Q17,D578
590,Q17,D582
591,Q17,D633
592,Q17,D680
593,Q17,D721
594,Q17,D724
595,Q17,D763
596,Q17,D1014
597,Q17,D1057
598,Q17,D1058
599,Q17,D1059
600,Q17,D1060
601,Q17,D1371
602,Q17,D1415
603,Q18,D66
604,Q18,D80
605,Q18,D175
606,Q18,D695
607,Q18,D709
608,Q18,D833
609,Q18,D1026
610,Q18,D1092
611,Q18,D1180
612,Q18,D1292
613,Q18,D1452
614,Q19,D26
615,Q19,D38
616,Q19,D39
617,Q19,D62
618,Q19,D65
619,Q19,D71
620,Q19,D77
621,Q19,D117
622,Q19,D123
623,Q19,D159
624,Q19,D175
625,Q19,D179
626,Q19,D320
627,Q19,D419
628,Q19,D421
629,Q19,D422
630,Q19,D434
631,Q19,D442
632,Q19,D479
633,Q19,D483
634,Q19,D487
635,Q19,D488
636,Q19,D501
637,Q19,D508
638,Q19,D511
639,Q19,D518
640,Q19,D520
641,Q19,D521
642,Q19,D538
643,Q19,D562
644,Q19,D570
645,Q19,D596
646,Q19,D636
647,Q19,D641
648,Q19,D669
649,Q19,D670
650,Q19,D671
651,Q19,D678
652,Q19,D687
653,Q19,D689
654,Q19,D695
655,Q19,D698
656,Q19,D699
657,Q19,D700
658,Q19,D704
659,Q19,D706
660,Q19,D708
661,Q19,D709
662,Q19,D714
663,Q19,D790
664,Q19,D802
665,Q19,D810
666,Q19,D812
667,Q19,D820
668,Q19,D835
669,Q19,D836
670,Q19,D851
671,Q19,D855
672,Q19,D862
673,Q19,D867
674,Q19,D868
675,Q19,D869
676,Q19,D871
677,Q19,D875
678,Q19,D876
679,Q19,D993
680,Q19,D1091
681,Q19,D1120
682,Q19,D1124
683,Q19,D1130
684,Q19,D1134
685,Q19,D1139
686,Q19,D1162
687,Q19,D1164
688,Q19,D1194
689,Q19,D1196
690,Q19,D1199
691,Q19,D1230
692,Q19,D1234
693,Q19,D1411
694,Q19,D1415
695,Q20,D27
696,Q20,D72
697,Q20,D73
698,Q20,D75
699,Q20,D77
700,Q20,D120
701,Q20,D128
702,Q20,D134
703,Q20,D150
704,Q20,D175
705,Q20,D190
706,Q20,D197
707,Q20,D224
708,Q20,D243
709,Q20,D244
710,Q20,D287
711,Q20,D374
712,Q20,D381
713,Q20,D382
714,Q20,D389
715,Q20,D390
716,Q20,D424
717,Q20,D448
718,Q20,D450
719,Q20,D458
720,Q20,D459
721,Q20,D465
722,Q20,D466
723,Q20,D468
724,Q20,D473
725,Q20,D474
726,Q20,D479
727,Q20,D483
728,Q20,D484
729,Q20,D485
730,Q20,D486
731,Q20,D487
732,Q20,D488
733,Q20,D492
734,Q20,D493
735,Q20,D494
736,Q20,D498
737,Q20,D504
738,Q20,D506
739,Q20,D519
740,Q20,D526
741,Q20,D534
742,Q20,D538
743,Q20,D547
744,Q20,D563
745,Q20,D564
746,Q20,D565
747,Q20,D576
748,Q20,D581
749,Q20,D586
750,Q20,D595
751,Q20,D596
752,Q20,D608
753,Q20,D609
754,Q20,D620
755,Q20,D625
756,Q20,D636
757,Q20,D646
758,Q20,D696
759,Q20,D702
760,Q20,D705
761,Q20,D720
762,Q20,D734
763,Q20,D742
764,Q20,D754
765,Q20,D773
766,Q20,D776
767,Q20,D780
768,Q20,D785
769,Q20,D795
770,Q20,D801
771,Q20,D806
772,Q20,D807
773,Q20,D809
774,Q20,D813
775,Q20,D815
776,Q20,D817
777,Q20,D820
778,Q20,D824
779,Q20,D826
780,Q20,D827
781,Q20,D829
782,Q20,D835
783,Q20,D845
784,Q20,D851
785,Q20,D852
786,Q20,D853
787,Q20,D855
788,Q20,D858
789,Q20,D859
790,Q20,D861
791,Q20,D863
792,Q20,D864
793,Q20,D866
794,Q20,D870
795,Q20,D871
796,Q20,D876
797,Q20,D894
798,Q20,D956
799,Q20,D966
800,Q20,D986
801,Q20,D1051
802,Q20,D1054
803,Q20,D1089
804,Q20,D1091
805,Q20,D1094
806,Q20,D1104
807,Q20,D1105
808,Q20,D1106
809,Q20,D1124
810,Q20,D1126
811,Q20,D1127
812,Q20,D1132
813,Q20,D1138
814,Q20,D1143
815,Q20,D1162
816,Q20,D1164
817,Q20,D1175
818,Q20,D1196
819,Q20,D1197
820,Q20,D1207
821,Q20,D1230
822,Q20,D1255
823,Q20,D1264
824,Q20,D1281
825,Q20,D1282
826,Q20,D1294
827,Q20,D1307
828,Q20,D1327
829,Q20,D1362
830,Q20,D1363
831,Q20,D1367
832,Q20,D1372
833,Q20,D1377
834,Q20,D1410
835,Q20,D1415
836,Q20,D1419
837,Q20,D1421
838,Q20,D1448
839,Q21,D6
840,Q21,D14
841,Q21,D22
842,Q21,D85
843,Q21,D171
844,Q21,D185
845,Q21,D186
846,Q21,D303
847,Q21,D339
848,Q21,D392
849,Q21,D400
850,Q21,D453
851,Q21,D839
852,Q21,D891
853,Q21,D896
854,Q21,D923
855,Q21,D924
856,Q21,D949
857,Q21,D985
858,Q21,D1020
859,Q21,D1021
860,Q21,D1147
861,Q21,D1149
862,Q21,D1206
863,Q21,D1356
864,Q22,D52
865,Q22,D64
866,Q22,D65
867,Q22,D72
868,Q22,D75
869,Q22,D133
870,Q22,D148
871,Q22,D190
872,Q22,D191
873,Q22,D192
874,Q22,D194
875,Q22,D197
876,Q22,D199
877,Q22,D202
878,Q22,D211
879,Q22,D213
880,Q22,D214
881,Q22,D218
882,Q22,D222
883,Q22,D223
884,Q22,D224
885,Q22,D254
886,Q22,D375
887,Q22,D382
888,Q22,D384
889,Q22,D395
890,Q22,D410
891,Q22,D415
892,Q22,D429
893,Q22,D452
894,Q22,D466
895,Q22,D506
896,Q22,D513
897,Q22,D514
898,Q22,D526
899,Q22,D547
900,Q22,D568
901,Q22,D586
902,Q22,D588
903,Q22,D613
904,Q22,D619
905,Q22,D620
906,Q22,D624
907,Q22,D659
908,Q22,D790
909,Q22,D806
910,Q22,D810
911,Q22,D828
912,Q22,D883
913,Q22,D890
914,Q22,D986
915,Q22,D1051
916,Q22,D1303
917,Q23,D2
918,Q23,D9
919,Q23,D11
920,Q23,D23
921,Q23,D31
922,Q23,D36
923,Q23,D46
924,Q23,D115
925,Q23,D183
926,Q23,D184
927,Q23,D193
928,Q23,D201
929,Q23,D202
930,Q23,D203
931,Q23,D204
932,Q23,D205
933,Q23,D210
934,Q23,D234
935,Q23,D242
936,Q23,D282
937,Q23,D290
938,Q23,D294
939,Q23,D295
940,Q23,D323
941,Q23,D325
942,Q23,D358
943,Q23,D364
944,Q23,D367
945,Q23,D383
946,Q23,D394
947,Q23,D406
948,Q23,D433
949,Q23,D502
950,Q23,D624
951,Q23,D638
952,Q23,D772
953,Q23,D845
954,Q23,D916
955,Q23,D930
956,Q23,D943
957,Q23,D944
958,Q23,D952
959,Q23,D959
960,Q23,D963
961,Q23,D1361
962,Q23,D1418
963,Q23,D1445
964,Q23,D1451
965,Q24,D6
966,Q24,D8
967,Q24,D14
968,Q24,D22
969,Q24,D136
970,Q24,D141
971,Q24,D170
972,Q24,D171
973,Q24,D188
974,Q24,D197
975,Q24,D230
976,Q24,D231
977,Q24,D268
978,Q24,D325
979,Q24,D339
980,Q24,D344
981,Q24,D353
982,Q24,D387
983,Q24,D392
984,Q24,D405
985,Q24,D407
986,Q24,D413
987,Q24,D453
988,Q24,D556
989,Q24,D585
990,Q24,D598
991,Q24,D743
992,Q24,D832
993,Q24,D844
994,Q24,D857
995,Q24,D858
996,Q24,D891
997,Q24,D896
998,Q24,D923
999,Q24,D924
1000,Q24,D929
1001,Q24,D934
1002,Q24,D935
1003,Q24,D945
1004,Q24,D949
1005,Q24,D1022
1006,Q24,D1147
1007,Q24,D1149
1008,Q24,D1166
1009,Q24,D1242
1010,Q24,D1245
1011,Q24,D1325
1012,Q24,D1356
1013,Q24,D1403
1014,Q24,D1423
1015,Q24,D1443
1016,Q24,D1457
1017,Q25,D12
1018,Q25,D17
1019,Q25,D94
1020,Q25,D130
1021,Q25,D138
1022,Q25,D243
1023,Q25,D260
1024,Q25,D323
1025,Q25,D342
1026,Q25,D375
1027,Q25,D376
1028,Q25,D384
1029,Q25,D452
1030,Q25,D482
1031,Q25,D529
1032,Q25,D710
1033,Q25,D873
1034,Q25,D877
1035,Q25,D919
1036,Q25,D1004
1037,Q25,D1095
1038,Q25,D1098
1039,Q25,D1153
1040,Q25,D1245
1041,Q25,D1251
1042,Q25,D1256
1043,Q25,D1303
1044,Q25,D1362
1045,Q25,D1431
1046,Q25,D1433
1047,Q25,D1435
1048,Q25,D1436
1049,Q25,D1441
1050,Q26,D17
1051,Q26,D27
1052,Q26,D36
1053,Q26,D67
1054,Q26,D74
1055,Q26,D83
1056,Q26,D126
1057,Q26,D158
1058,Q26,D164
1059,Q26,D192
1060,Q26,D214
1061,Q26,D218
1062,Q26,D307
1063,Q26,D338
1064,Q26,D364
1065,Q26,D365
1066,Q26,D372
1067,Q26,D381
1068,Q26,D446
1069,Q26,D458
1070,Q26,D465
1071,Q26,D468
1072,Q26,D474
1073,Q26,D490
1074,Q26,D491
1075,Q26,D495
1076,Q26,D496
1077,Q26,D497
1078,Q26,D500
1079,Q26,D507
1080,Q26,D523
1081,Q26,D534
1082,Q26,D584
1083,Q26,D591
1084,Q26,D615
1085,Q26,D620
1086,Q26,D639
1087,Q26,D675
1088,Q26,D690
1089,Q26,D723
1090,Q26,D732
1091,Q26,D779
1092,Q26,D813
1093,Q26,D822
1094,Q26,D848
1095,Q26,D849
1096,Q26,D860
1097,Q26,D865
1098,Q26,D979
1099,Q26,D1100
1100,Q26,D1264
1101,Q26,D1366
1102,Q26,D1368
1103,Q26,D1374
1104,Q26,D1376
1105,Q26,D1377
1106,Q27,D27
1107,Q27,D44
1108,Q27,D51
1109,Q27,D52
1110,Q27,D57
1111,Q27,D65
1112,Q27,D68
1113,Q27,D71
1114,Q27,D72
1115,Q27,D77
1116,Q27,D78
1117,Q27,D79
1118,Q27,D114
1119,Q27,D117
1120,Q27,D123
1121,Q27,D126
1122,Q27,D149
1123,Q27,D150
1124,Q27,D159
1125,Q27,D174
1126,Q27,D175
1127,Q27,D176
1128,Q27,D180
1129,Q27,D187
1130,Q27,D190
1131,Q27,D191
1132,Q27,D212
1133,Q27,D241
1134,Q27,D257
1135,Q27,D258
1136,Q27,D259
1137,Q27,D309
1138,Q27,D314
1139,Q27,D315
1140,Q27,D319
1141,Q27,D321
1142,Q27,D326
1143,Q27,D327
1144,Q27,D329
1145,Q27,D377
1146,Q27,D378
1147,Q27,D389
1148,Q27,D390
1149,Q27,D434
1150,Q27,D446
1151,Q27,D448
1152,Q27,D480
1153,Q27,D489
1154,Q27,D493
1155,Q27,D499
1156,Q27,D500
1157,Q27,D506
1158,Q27,D510
1159,Q27,D517
1160,Q27,D522
1161,Q27,D527
1162,Q27,D530
1163,Q27,D531
1164,Q27,D538
1165,Q27,D565
1166,Q27,D566
1167,Q27,D570
1168,Q27,D590
1169,Q27,D600
1170,Q27,D603
1171,Q27,D632
1172,Q27,D644
1173,Q27,D659
1174,Q27,D670
1175,Q27,D671
1176,Q27,D673
1177,Q27,D680
1178,Q27,D684
1179,Q27,D687
1180,Q27,D695
1181,Q27,D699
1182,Q27,D700
1183,Q27,D704
1184,Q27,D709
1185,Q27,D740
1186,Q27,D746
1187,Q27,D758
1188,Q27,D761
1189,Q27,D769
1190,Q27,D773
1191,Q27,D776
1192,Q27,D781
1193,Q27,D790
1194,Q27,D796
1195,Q27,D805
1196,Q27,D817
1197,Q27,D820
1198,Q27,D824
1199,Q27,D825
1200,Q27,D830
1201,Q27,D869
1202,Q27,D894
1203,Q27,D1091
1204,Q27,D1120
1205,Q27,D1124
1206,Q27,D1126
1207,Q27,D1127
1208,Q27,D1130
1209,Q27,D1132
1210,Q27,D1139
1211,Q27,D1144
1212,Q27,D1230
1213,Q27,D1255
1214,Q27,D1280
1215,Q27,D1283
1216,Q27,D1298
1217,Q27,D1323
1218,Q27,D1392
1219,Q27,D1419
1220,Q27,D1421
1221,Q28,D116
1222,Q28,D133
1223,Q28,D150
1224,Q28,D156
1225,Q28,D164
1226,Q28,D198
1227,Q28,D243
1228,Q28,D252
1229,Q28,D327
1230,Q28,D375
1231,Q28,D460
1232,Q28,D465
1233,Q28,D568
1234,Q28,D569
1235,Q28,D582
1236,Q28,D609
1237,Q28,D635
1238,Q28,D670
1239,Q28,D671
1240,Q28,D674
1241,Q28,D676
1242,Q28,D681
1243,Q28,D683
1244,Q28,D684
1245,Q28,D687
1246,Q28,D689
1247,Q28,D690
1248,Q28,D692
1249,Q28,D695
1250,Q28,D696
1251,Q28,D699
1252,Q28,D700
1253,Q28,D702
1254,Q28,D703
1255,Q28,D704
1256,Q28,D707
1257,Q28,D709
1258,Q28,D710
1259,Q28,D722
1260,Q28,D723
1261,Q28,D726
1262,Q28,D731
1263,Q28,D741
1264,Q28,D742
1265,Q28,D743
1266,Q28,D813
1267,Q28,D833
1268,Q28,D890
1269,Q28,D1026
1270,Q28,D1089
1271,Q28,D1092
1272,Q28,D1120
1273,Q28,D1126
1274,Q28,D1162
1275,Q28,D1164
1276,Q28,D1180
1277,Q28,D1292
1278,Q28,D1296
1279,Q28,D1370
1280,Q28,D1460
1281,Q29,D34
1282,Q29,D65
1283,Q29,D68
1284,Q29,D71
1285,Q29,D72
1286,Q29,D77
1287,Q29,D78
1288,Q29,D79
1289,Q29,D90
1290,Q29,D117
1291,Q29,D156
1292,Q29,D159
1293,Q29,D175
1294,Q29,D176
1295,Q29,D194
1296,Q29,D195
1297,Q29,D212
1298,Q29,D257
1299,Q29,D315
1300,Q29,D377
1301,Q29,D446
1302,Q29,D493
1303,Q29,D499
1304,Q29,D503
1305,Q29,D517
1306,Q29,D527
1307,Q29,D531
1308,Q29,D643
1309,Q29,D649
1310,Q29,D650
1311,Q29,D660
1312,Q29,D661
1313,Q29,D671
1314,Q29,D673
1315,Q29,D674
1316,Q29,D680
1317,Q29,D699
1318,Q29,D700
1319,Q29,D704
1320,Q29,D709
1321,Q29,D713
1322,Q29,D715
1323,Q29,D807
1324,Q29,D830
1325,Q29,D1144
1326,Q29,D1280
1327,Q29,D1419
1328,Q29,D1421
1329,Q30,D2
1330,Q30,D10
1331,Q30,D15
1332,Q30,D37
1333,Q30,D63
1334,Q30,D76
1335,Q30,D77
1336,Q30,D87
1337,Q30,D89
1338,Q30,D97
1339,Q30,D102
1340,Q30,D111
1341,Q30,D112
1342,Q30,D121
1343,Q30,D138
1344,Q30,D166
1345,Q30,D167
1346,Q30,D213
1347,Q30,D215
1348,Q30,D219
1349,Q30,D225
1350,Q30,D234
1351,Q30,D255
1352,Q30,D311
1353,Q30,D323
1354,Q30,D341
1355,Q30,D362
1356,Q30,D379
1357,Q30,D573
1358,Q30,D580
1359,Q30,D587
1360,Q30,D588
1361,Q30,D605
1362,Q30,D611
1363,Q30,D613
1364,Q30,D614
1365,Q30,D616
1366,Q30,D618
1367,Q30,D622
1368,Q30,D632
1369,Q30,D635
1370,Q30,D638
1371,Q30,D656
1372,Q30,D685
1373,Q30,D686
1374,Q30,D691
1375,Q30,D721
1376,Q30,D724
1377,Q30,D725
1378,Q30,D741
1379,Q30,D744
1380,Q30,D747
1381,Q30,D748
1382,Q30,D750
1383,Q30,D751
1384,Q30,D756
1385,Q30,D757
1386,Q30,D759
1387,Q30,D764
1388,Q30,D765
1389,Q30,D766
1390,Q30,D767
1391,Q30,D770
1392,Q30,D775
1393,Q30,D777
1394,Q30,D778
1395,Q30,D782
1396,Q30,D784
1397,Q30,D786
1398,Q30,D787
1399,Q30,D788
1400,Q30,D789
1401,Q30,D791
1402,Q30,D793
1403,Q30,D794
1404,Q30,D800
1405,Q30,D804
1406,Q30,D808
1407,Q30,D821
1408,Q30,D831
1409,Q30,D953
1410,Q30,D958
1411,Q30,D1055
1412,Q30,D1085
1413,Q30,D1086
1414,Q30,D1090
1415,Q30,D1097
1416,Q30,D1108
1417,Q30,D1109
1418,Q30,D1113
1419,Q30,D1114
1420,Q30,D1115
1421,Q30,D1122
1422,Q30,D1123
1423,Q30,D1155
1424,Q30,D1156
1425,Q30,D1157
1426,Q30,D1161
1427,Q30,D1167
1428,Q30,D1168
1429,Q30,D1172
1430,Q30,D1173
1431,Q30,D1176
1432,Q30,D1182
1433,Q30,D1190
1434,Q30,D1191
1435,Q30,D1209
1436,Q30,D1210
1437,Q30,D1241
1438,Q30,D1254
1439,Q30,D1260
1440,Q30,D1269
1441,Q30,D1274
1442,Q30,D1276
1443,Q30,D1278
1444,Q30,D1279
1445,Q30,D1284
1446,Q30,D1285
1447,Q30,D1286
1448,Q30,D1287
1449,Q30,D1289
1450,Q30,D1290
1451,Q30,D1301
1452,Q30,D1304
1453,Q30,D1313
1454,Q30,D1319
1455,Q30,D1335
1456,Q30,D1350
1457,Q30,D1369
1458,Q30,D1418
1459,Q30,D1428
1460,Q30,D1432
1461,Q30,D1444
1462,Q30,D1451
1463,Q31,D95
1464,Q31,D116
